Time,Density-DV01 Monitor: Density-DV01 Monitor (kg/m^3),Density-TS01 Monitor: Density-TS01 Monitor (kg/m^3),Density-TS02 Monitor: Density-TS02 Monitor (kg/m^3),Density-TS03 Monitor: Density-TS03 Monitor (kg/m^3),Density-TS04 Monitor: Density-TS04 Monitor (kg/m^3)
5E-08,2.25518061597971,0.002129610206335,0.002129610206335,0.002129610206335,0.002129610206335
2.15E-06,2.25518061598327,0.002129610988484,0.002129611891347,0.002129611889872,0.00212961290734
4.25E-06,2.25518061603875,0.002135530452859,0.002135497468003,0.002135374894148,0.002135395884884
6.35000000000002E-06,2.25518061619047,0.002131003897296,0.002130999478375,0.002131059180067,0.00213103182004
8.45000000000002E-06,2.2551806164849,0.002131211822861,0.002131213166917,0.002131199407151,0.002131221921869
1.055E-05,2.25518061713315,0.002132279054232,0.002132270009736,0.002132268704119,0.002132319202606
1.265E-05,2.25518061933448,0.002131809863984,0.002131824115924,0.002131819637676,0.002131836696074
1.475E-05,2.25518064160975,0.002132034638555,0.002132018060475,0.002132004700733,0.002132019122169
1.685E-05,2.25518066623939,0.002133262135172,0.002133264985088,0.002133267958651,0.002133381562311
1.895E-05,2.25518066739693,0.002135093281029,0.002135110685105,0.002135072576115,0.002135697240772
2.10500000000001E-05,2.25518066367417,0.002131822204198,0.002131840568802,0.002131863938203,0.00213225834578
2.31500000000001E-05,2.25518066006422,0.002133971010028,0.002133976574636,0.002133962339502,0.002134386433792
2.52500000000002E-05,2.25518065849939,0.002134578474441,0.002134595225738,0.002134580193029,0.002134870847337
2.73500000000002E-05,2.25518065845258,0.002132112123454,0.002132103961212,0.002132117205762,0.002132448082986
2.94500000000003E-05,2.25518065927259,0.00213468360869,0.002134700850973,0.002134672897216,0.002134943026189
3.15500000000003E-05,2.25518066095881,0.002134890858458,0.002134897725595,0.002134886634298,0.002135101429533
3.36500000000004E-05,2.25518066383569,0.002134182659061,0.002134185986381,0.002134166697193,0.002134417096352
3.58000000000004E-05,2.2551806685133,0.002134107505714,0.002134102648352,0.002134123853041,0.002134224568173
3.79000000000005E-05,2.25518067490639,0.002135447566204,0.00213545532656,0.002135451230576,0.002135637853297
4.00000000000006E-05,2.2551806834275,0.007105976151257,0.002134484203438,0.002134478163746,0.002134668143617
4.21000000000006E-05,2.25518069544917,0.006393319831877,0.002133737478382,0.002133755923917,0.002133887972208
4.42000000000007E-05,2.25518070570908,0.005973879078319,0.002136594109393,0.002136550787941,0.002136771797695
4.63000000000007E-05,2.25518070750608,0.005688458918928,0.002134743076252,0.002134743657833,0.002134898699037
4.84000000000008E-05,2.25518070664947,0.006480121785184,0.002134613137708,0.002134608822623,0.002134723729018
5.05000000000008E-05,2.25518070524639,0.00742664783807,0.002136457126742,0.002136436868967,0.00213660487017
5.26000000000009E-05,2.25518070474886,0.008187281605615,0.002135128975182,0.002135147060101,0.002135279111572
5.47000000000009E-05,2.25518070496875,0.015353266147505,0.002135007913598,0.002134997442587,0.002135075437497
5.6800000000001E-05,2.2551807063804,0.052341332949616,0.002135978771494,0.002135971090386,0.002136153396325
5.8900000000001E-05,2.25518071038997,0.067246479050204,0.002136499912437,0.002136460144499,0.00213662739961
6.10000000000011E-05,2.2551807162097,0.080939887582699,0.002135040423084,0.002135039597586,0.002135071291277
6.31000000000011E-05,2.25518072279022,0.096512242651055,0.002136318352534,0.002136305756211,0.002136502323971
6.52000000000012E-05,2.25518072985427,0.089948490163399,0.002136927394946,0.002136902707832,0.002136999653556
6.73000000000012E-05,2.25518073782271,0.103172857977817,0.002134993331791,0.0021350177186,0.002135053219586
6.94500000000013E-05,2.25518163699569,0.131529629061894,0.002136684455031,0.002136663300646,0.002136869538775
7.15500000000013E-05,2.25518191026949,0.146337399242777,0.00213693024228,0.002136915251745,0.002136992297115
7.36500000000014E-05,2.25518201560585,0.118315820473419,0.002135790417922,0.002135791911423,0.002135855768163
7.57500000000014E-05,2.25518207928824,0.104628761516991,0.002136693649215,0.002136666246028,0.002136839482278
7.78500000000015E-05,2.25518205683116,0.101880743175398,0.002137225141303,0.002137216394524,0.002137302022924
7.99500000000015E-05,2.2551820354735,0.108922313482281,0.002136470402423,0.002136462883386,0.002136511441876
8.20500000000016E-05,2.25518204686341,0.144613826501948,0.002136260598544,0.002136273813707,0.002136385816503
8.41500000000016E-05,2.2551820556118,0.143260914385426,0.002137759180441,0.002137736715381,0.002137873957668
8.62500000000017E-05,2.25518205285452,0.132260435273509,0.002140473961242,0.002136700585204,0.002136717146097
8.83500000000017E-05,2.25518205258765,0.133588879279468,0.007019371873358,0.002136504170831,0.002136639899751
9.04500000000018E-05,2.2551820612921,0.144705311894662,0.007111063922619,0.002138034967466,0.00213817053482
9.25500000000018E-05,2.25518208078899,0.165113692859703,0.007222343185653,0.00213697665563,0.002136960550445
9.46500000000019E-05,2.2551820844783,0.18856208790922,0.007242878636286,0.002136860810907,0.002137006243479
9.67500000000019E-05,2.25518208545889,0.204468012460833,0.006852536673954,0.002137852148517,0.002137966932004
9.8850000000002E-05,2.25518208694318,0.200145498876198,0.006171660582001,0.002137554206792,0.002137557130399
0.00010095,2.25518208837293,0.197672038865867,0.006273078108651,0.002136997014038,0.002137120429764
0.00010305,2.25518208802744,0.209742932146477,0.008355955207556,0.002137876041346,0.002137989694736
0.0001052,2.25518208754468,0.243332260138422,0.013933864143803,0.002138125157609,0.002138151019489
0.0001073,2.25518208823606,0.269507056460035,0.026088866109412,0.002137047409243,0.002137118544193
