Time,Pressure-DV01 Monitor: Pressure-DV01 Monitor (Pa),Pressure-TS01 Monitor: Pressure-TS01 Monitor (Pa),Pressure-TS02 Monitor: Pressure-TS02 Monitor (Pa),Pressure-TS03 Monitor: Pressure-TS03 Monitor (Pa),Pressure-TS04 Monitor: Pressure-TS04 Monitor (Pa)
9.47000000000019E-05,1825389.30392495,58902.3742282173,28033.0602992818,5335.50565947552,2979.65497409346
9.58000000000019E-05,1825389.86609262,63329.2932764857,28057.677835383,5516.64712728286,3167.01019241994
9.69500000000019E-05,1825392.45228878,64186.3531241024,28113.5731652327,5714.34651816958,3269.82548952817
9.8100000000002E-05,1825393.5060242,61969.0268503065,28182.065896628,5842.53770332249,3321.34098209419
9.9250000000002E-05,1825395.0525118,59307.8112964121,28213.541783867,6088.39542219882,3370.98167561997
0.0001004,1825396.52562464,57657.7526488504,28234.120392721,6389.06353343453,3508.11127848551
0.00010155,1825398.18218192,57992.8244186481,28208.2174236744,6643.4394560451,3694.07194483622
0.00010265,1825399.79097558,60631.0689262937,28325.4662590158,6972.85079973709,3882.1532627533
0.0001038,1825402.63003167,66036.4146010952,28221.5199935645,7171.63081837093,4056.67154396085
0.00010495,1825405.2669334,75569.8694993561,28190.1125934348,7346.91176474973,4318.80750114091
0.0001061,1825406.58422737,86333.299804748,27736.8341158965,7634.17742487627,4500.04214354297
0.00010725,1825406.98370887,90627.283205877,27835.7833164746,7778.44089712424,4684.18002252051
0.00010835,1825407.02744213,87651.7348526343,28138.6966152223,8042.04093885228,4830.62536558013
0.0001095,1825407.09379152,80724.5412136336,28139.9315256248,8175.33076470882,4959.31467172274
0.00011065,1825407.86688455,73686.092964817,28282.8292284807,8424.61533751864,5051.04978402139
0.0001118,1825407.15823401,68460.0642050283,29326.6774449499,8560.41881833524,5116.37500867344
0.00011295,1825409.09008953,65189.8069143964,29084.8284378061,8808.77896538403,5218.30184110321
0.00011405,1825409.8570249,64086.4784141281,29225.8356717035,8973.61877864845,5378.87864115025
0.0001152,1825411.2855873,65002.5210565379,29507.9199791715,9144.98973035255,5596.93717148107
0.00011635,1825415.15434289,68044.1153116283,29603.1047852599,9475.53761863764,5804.80911694838
