Time,Pressure-DV01 Monitor: Pressure-DV01 Monitor (Pa),Pressure-TS01 Monitor: Pressure-TS01 Monitor (Pa),Pressure-TS02 Monitor: Pressure-TS02 Monitor (Pa),Pressure-TS03 Monitor: Pressure-TS03 Monitor (Pa),Pressure-TS04 Monitor: Pressure-TS04 Monitor (Pa)
0.0002482,1679361.10773142,286951.156550595,49849.5961701215,40927.7475905728,341413.909426783
0.0002503,1680223.19887365,280462.273574503,52660.4549734125,41635.7946059572,356407.261295981
0.0002524,1681423.95233016,280306.939988058,56049.9910831384,41281.2912935585,371106.06785213
0.0002545,1682482.51132656,289315.840214726,99092.209012545,40138.7091719467,383277.014880915
0.0002566,1683449.35376828,301102.950014476,93914.0243142725,39065.9518907868,393181.450143085
0.0002587,1684301.71962939,301932.220247197,88980.2028092068,38918.3015831904,401942.387696461
0.0002608,1685418.61870524,305301.480164194,93255.341347209,39997.1594508166,409665.201361037
0.0002629,1686670.14432795,303260.091158397,103468.841634916,41811.2771133895,416348.201154618
0.000265,1687983.39251741,318043.320559662,94880.8630468902,42854.5290015325,422059.695534884
0.0002671,1689058.29394355,326481.725079573,92030.5573665248,42311.0090494084,426530.240236083
0.0002692,1690078.3121452,319545.692511405,100554.938108107,40967.7901122476,429563.137556397
0.0002713,1691852.00091692,317045.480562516,103305.038569938,40262.5564220307,431536.079469767
0.0002734,1693866.39995415,325775.832427911,102738.951768745,40876.6856725322,432282.684444674
0.0002755,1695137.75033436,329395.450483217,106176.098212369,42763.4377404698,432184.530773906
0.00027765,1696308.78184891,324850.460006175,110000.2061846,44760.5869322925,431456.757588869
0.00027975,1697414.92190465,323901.201893869,115660.818540993,44900.5726872802,430255.622197014
0.00028185,1698445.02908283,334303.455279332,114493.766965141,43375.6759778258,428897.57607218
0.00028395,1699184.16128115,344961.076360534,108876.712503963,42074.5760670787,427543.071391157
0.00028605,1700264.0633382,343786.510748238,113049.703767674,42294.9882068709,426277.871382451
0.00028815,1700804.0207779,336864.938838677,117077.410201686,44157.452761354,425302.948334531
0.00029025,1701576.98288533,339789.365866738,113596.350383919,46280.3371045227,424868.795346597
0.00029235,1745497.8964727,347205.332862652,113311.153921929,46344.1151724279,424915.044432828
0.00029445,1750342.78173149,344082.1739762,113387.188554568,44627.4365353379,425398.440087199
0.00029655,1743100.30939147,345312.15358385,117746.525355719,43444.5446774354,426191.441197385
