Time,Temperature-DV01 Monitor: Temperature-DV01 Monitor (K),Temperature-TS01 Monitor: Temperature-TS01 Monitor (K),Temperature-TS02 Monitor: Temperature-TS02 Monitor (K),Temperature-TS03 Monitor: Temperature-TS03 Monitor (K),Temperature-TS04 Monitor: Temperature-TS04 Monitor (K)
5E-08,293.600001280728,293.608496483587,293.634538032062,293.61084441178,293.600000000094
1.15E-06,293.600035689521,293.793118112261,294.39079287536,293.849633267334,293.600000338542
2.3E-06,293.600063342824,293.985920602053,295.15161838932,294.079549929701,293.600648766404
3.45E-06,293.600091453387,294.162557240625,295.940167404601,294.342914704916,293.618041708625
4.6E-06,293.600121634336,294.758482482165,296.9954163478,295.189561007656,294.038061155097
5.75000000000001E-06,293.600169601001,294.719501579432,297.592797765499,295.035556003241,293.756911438395
6.85000000000002E-06,293.600219996943,294.91825114681,298.40575262793,295.346226922087,293.726341445094
8.00000000000002E-06,293.600266659004,295.201020674211,299.287781144944,295.633095767055,293.737419221171
9.15000000000001E-06,293.600313697952,295.468705494345,300.243233449426,295.693749117331,293.772204032873
1.03E-05,293.600362409325,295.738140949716,301.163987209956,296.182429797205,293.829606747237
1.145E-05,293.600411265949,296.266107420043,302.303211291245,296.774669744093,294.111071131215
1.255E-05,293.600458119255,296.18753258646,302.827385151738,296.714434044172,293.847162903303
1.37E-05,293.600507291055,296.381279060426,303.725481872361,296.97227567539,293.769132464369
1.485E-05,293.600545728952,296.702575885071,304.627988836255,297.242944921179,293.829869909714
1.6E-05,293.600572645066,297.091101953742,305.784631271227,297.679818211824,293.887638794319
1.715E-05,293.600661238631,297.485315306541,306.966493495862,298.254446440612,293.985300205485
1.825E-05,293.600747256584,297.889049479794,308.080806026055,298.756244766897,294.099414364414
1.94000000000001E-05,293.60080670137,298.157090391255,309.041120457907,299.080175434836,294.114604461784
2.05500000000001E-05,293.600870807587,298.272006416105,310.058420968888,299.319023088797,293.792772185704
2.17000000000001E-05,293.600918487297,298.853799275469,311.432063498594,299.98130465861,293.947258579499
2.28500000000001E-05,293.601005060971,299.322533597448,312.779240186632,300.666105556988,294.035137562858
2.39500000000002E-05,293.601054696064,299.748291222904,313.911194793553,301.302320025969,294.076016528207
2.51000000000002E-05,293.601113253318,300.169463427437,315.094550696892,301.887482394148,294.094040576459
2.62500000000002E-05,293.601167609395,300.616841547528,316.406587591251,302.540139054655,294.104545215664
2.74000000000002E-05,293.601244661761,300.895238714427,317.538964130132,302.99073886277,293.880731686873
2.85500000000003E-05,293.601300155394,301.481237850322,319.125724854511,303.803099996017,293.98111482353
2.97000000000003E-05,293.601355771651,302.016893663746,320.595439245314,304.581875759373,294.152534797227
3.08000000000003E-05,293.601440383296,302.552139209455,321.973246594575,305.400825964651,294.175718808995
3.19500000000004E-05,293.601554574431,302.98366263498,323.329443830671,306.105133256059,294.171394387601
3.31000000000004E-05,293.601613768814,303.442398912191,324.869651216918,306.863807223173,294.159650368263
3.42500000000004E-05,293.601742414812,303.874616223164,326.202050967069,307.48104602272,294.070578130963
3.54000000000004E-05,293.601851953996,304.481665250267,327.925366523078,308.263603111773,294.054057788599
3.65000000000005E-05,293.60192622742,305.201880779458,329.408118411647,309.281275839082,294.3129123571
3.76500000000005E-05,293.602088300458,305.827702833551,330.907468416532,310.08631126114,294.324406136506
3.88000000000005E-05,293.602198828502,306.392465005691,332.125080146707,310.849299661347,294.280818500476
3.99500000000006E-05,293.60230525988,1619.77002808458,333.615782724323,311.629952520587,294.252217913351
4.11000000000006E-05,293.602456178533,1611.48899094755,335.297222101281,312.633113319816,294.228154304299
4.22000000000006E-05,293.602570881683,1587.56593728451,337.082675273657,313.501763779989,294.24017868814
4.33500000000006E-05,293.602694202419,1638.21376725056,338.8451228656,314.60173235839,294.475856881316
4.45000000000007E-05,293.602812393945,1719.51214963373,340.302113941972,315.524338134272,294.579927718004
4.56500000000007E-05,293.60294558221,1755.24501961805,341.739574717068,316.389046483355,294.532596343132
4.68000000000007E-05,293.603113609195,1874.11449635569,343.306988670249,317.454492677919,294.47248737341
4.79000000000007E-05,293.60326831789,1840.12066895059,344.871174186254,318.467850902832,294.614897847398
4.90500000000008E-05,293.603409006134,1572.30595121403,346.556989654347,319.305789804459,294.608783638846
5.02000000000008E-05,293.603557541698,1522.60642486921,348.060138652478,320.370680715813,294.768311573775
5.13500000000008E-05,293.603795576901,1434.84990564994,349.488479113453,321.251626944879,294.9668744349
5.25000000000009E-05,293.604077267056,1369.46629749089,350.891034829402,322.096031959233,294.700545345433
5.36500000000009E-05,293.604260095813,940.671389948534,352.446889725527,323.499389109278,294.715124110718
5.47500000000009E-05,293.604443620546,729.191998356164,354.161166446301,324.747168618856,294.797100032574
5.59000000000009E-05,293.604558379076,488.75188148029,355.674995481281,326.914212578622,294.862841740886
5.7050000000001E-05,293.604643872316,219.652985905244,357.323393912281,329.599864321879,295.057403937329
5.8200000000001E-05,293.604738828462,184.018714235515,358.905427195904,331.743281234998,295.372703669324
5.9350000000001E-05,293.604942269734,169.592027436437,360.445674212211,333.816420641096,295.203759454653
6.04500000000011E-05,293.605131330459,151.752059436375,362.078288717009,336.097470827509,295.275318620094
6.16000000000011E-05,293.605365004554,139.993778904145,363.743242566314,338.199126174662,295.47634411163
6.27500000000011E-05,293.605613876816,139.008899930995,365.218930880604,340.291703830747,295.486364501817
6.39000000000011E-05,293.605752525752,124.394612702238,366.944656633205,342.463605636248,295.846147181457
6.50500000000012E-05,293.605920629052,115.39890569015,368.602203567605,344.384896939798,296.220168560709
6.61500000000012E-05,293.60605988383,121.947535079437,370.103443103667,347.469652203992,296.070736558927
6.73000000000012E-05,293.606218910021,119.867779232038,372.170452197228,350.954643533394,296.367539926226
6.84500000000012E-05,293.606488797148,122.675903779379,373.368781653596,353.873202061526,296.939486076182
6.96000000000013E-05,293.606736854531,143.573202780069,375.052101851761,357.110729119771,297.333646636864
7.07500000000013E-05,293.606912688751,151.50459942629,376.443060398999,370.166855507819,298.21228196467
7.18500000000013E-05,293.607097397832,141.967863407078,378.006161980873,387.061544122071,299.419223272263
7.30000000000014E-05,293.607239218229,126.946788678221,379.58959036525,406.76869273889,300.160889601637
7.41500000000014E-05,293.607426149275,116.158514761951,381.088926639114,423.78462931724,301.494830419851
7.53000000000014E-05,293.607661518542,108.829986526625,382.291772811782,447.159231358605,304.498321976245
7.64500000000014E-05,293.607995152489,104.937848448277,384.026570347182,483.570142768663,307.139257749046
7.76000000000015E-05,293.608318007218,103.215510843135,385.741090623726,515.84452893439,310.478813695092
7.87000000000015E-05,293.608581195267,102.458395595285,387.480967710647,543.744701147335,311.785608007748
7.98500000000015E-05,293.608853778746,103.623861194813,389.163987063535,574.609356214807,313.003783834868
8.10000000000015E-05,293.609077041709,111.969260457108,390.73963029102,619.384493452676,314.002634213803
8.21500000000016E-05,293.609293333656,121.362651991674,392.279608355483,662.527120003719,314.78899866375
8.33000000000016E-05,293.609398175861,118.55040115745,393.86155727618,699.922978338754,316.85895403943
8.44000000000016E-05,293.609593802038,111.670834690986,395.755244927648,733.931589541835,319.716427111067
8.55500000000017E-05,293.609785004796,105.389882408074,397.031122861004,760.341420313575,322.943591761475
8.67000000000017E-05,293.609986007566,101.840333781331,1483.43720514797,781.139168207289,327.017886026481
8.78500000000017E-05,293.610347297776,100.293349922985,1512.24659048998,809.644051895583,331.61197880976
8.90000000000017E-05,293.610728243737,100.044778791538,1509.34197717554,839.829329228901,335.082546662797
9.01000000000018E-05,293.611015412962,101.03520835853,1504.9010118405,871.621439593617,337.588386523338
9.12500000000018E-05,293.611319291626,103.435976046422,1499.73266214631,908.178584866563,341.413604193197
9.24000000000018E-05,293.611603937426,106.720422424399,1479.22086975119,949.014731240961,347.233190460253
9.35500000000019E-05,293.611742536633,110.024543065968,1472.12374482497,1006.75233407428,355.275156775611
9.47000000000019E-05,293.611897547151,112.956521100223,1473.99025325331,1052.024161224,366.105778963916
9.58000000000019E-05,293.6120955273,114.765723178582,1485.87792653856,1100.13057480351,375.451171032673
9.69500000000019E-05,293.612425756981,113.900339332206,1526.51620742424,1143.39756684907,380.040261475851
9.8100000000002E-05,293.612657031049,111.093659218305,1587.13471148301,1171.39306998585,382.313809101208
9.9250000000002E-05,293.612918765534,108.170708889393,1733.06900065365,1196.61180662036,386.133388698844
0.0001004,293.613176419303,106.111661814633,1774.54018869065,1228.97988975038,395.440069321133
0.00010155,293.613444340696,105.516245872348,1517.97336271505,1265.31166209986,405.422430575347
0.00010265,293.61370901705,106.665863238481,1355.32869132709,1312.06855088748,413.283864931166
0.0001038,293.614063018858,109.552616051467,1005.92958051011,1354.46341547128,419.645703504865
0.00010495,293.614403472703,114.89061187133,771.082614484287,1400.26745261741,430.345356029299
0.0001061,293.614621615033,120.482242273966,600.902586033536,1475.15605778869,439.951486832036
0.00010725,293.614784755563,122.036538666935,402.927258343707,1550.34025854617,453.760587714414
0.00010835,293.614920585172,119.916656561263,295.068388307593,1629.02116849761,464.0101966025
0.0001095,293.615063964985,115.257553959144,256.645565608468,1692.80469219072,473.762134221154
0.00011065,293.615255338795,110.518557148117,246.610463229348,1768.13744505446,514.459749823948
0.0001118,293.615354728571,106.764043198498,244.688739932902,1833.33901742274,769.127806230333
0.00011295,293.615620966894,104.248199980327,233.882890231832,1910.65957819133,1096.28112606505
0.00011405,293.615808096169,103.17356396234,223.186712141641,1979.94936171972,1273.5782664246
0.0001152,293.616035972089,103.384680775043,212.199166988846,2048.90265268668,1416.32304159681
0.00011635,293.616439398557,104.877205269261,200.374363848141,2139.606200258,1594.83778311383
0.0001175,293.616818291348,108.238370947532,188.621861806764,2228.28300285243,1889.74467046712
0.00011865,293.617113362144,112.921310712705,178.042217140964,2294.66512539243,2096.83833532292
0.00011975,293.617347010787,115.366182139299,170.035218204578,2350.71838220627,2216.91117074942
0.0001209,293.617645936302,114.834967070699,162.371886858816,2426.04449795494,2350.0595051084
0.00012205,293.617801283743,112.536551157015,154.273405126962,2509.13400268849,2475.38640409594
0.0001232,293.618178730829,109.753358413079,146.22009394821,2621.80150431404,2668.2677418934
0.00012435,293.618562790881,107.385796573644,139.262719777033,2735.09672449559,2915.90621467684
0.00012545,293.618947567842,105.548749084018,132.656948352038,2848.57614119926,2959.94270805104
0.0001266,293.61938946137,104.024193429748,127.45691454433,2944.64663394279,3142.17225750583
0.00012775,293.619905309337,103.040455267398,124.863948016337,3029.53070456375,3216.95636976116
0.0001289,293.620146172067,102.634220150921,121.243113334013,3119.8321470842,3333.43169060558
0.00013005,293.620454690945,102.868959193398,117.478129027982,3204.41637532108,3356.5950317686
0.0001312,293.62089365323,103.841100968018,114.749431330008,4870.56323252303,3424.60581291266
0.0001323,293.621180658432,105.914502962464,113.189823395498,4642.69159376742,3430.8918006822
0.00013345,293.621669678652,109.214994740314,114.945089303864,4624.84013727663,3485.11248644449
0.0001346,293.622187679094,112.159099372797,114.927069547995,4301.13558990708,3506.15986879222
0.00013575,293.622645516804,113.331082777602,114.511959381933,3982.53750786843,3552.75139320551
0.0001369,293.623124100757,112.706733302569,114.816781821737,4084.54603305928,3550.44550160825
0.000138,293.623715444388,110.922825240524,113.493336446764,3813.21511029639,3552.9674065298
0.00013915,293.624293050629,108.499013036042,109.224975763809,3720.70047740851,3534.63047153006
0.0001403,293.62489850392,106.28552942722,104.939393326657,3620.8643404463,3542.10428299086
0.00014145,293.6256519046,104.977699871126,102.263311448845,3528.13021409559,3555.59592097776
0.0001426,293.62632075433,104.92442129881,100.429429613106,3362.00820282541,3581.5875522325
0.0001437,293.626881571895,106.043381687402,99.2724508331113,3152.4742852348,3627.20620463415
0.00014485,293.627574504193,108.182366876591,99.127681463132,2782.85244265976,3673.6444267313
0.000146,293.628257308355,110.639875550829,100.630411866674,2457.23820213902,3764.46376966041
0.00014715,293.628828034254,113.02051415396,103.702467070235,2284.07235186469,3841.78089881276
0.0001483,293.629165900797,115.554837163434,108.860999609194,2238.49862810995,3926.76881130353
0.0001494,293.62952125339,118.096699791979,115.664120529424,2216.71361175634,6721.99195622416
0.00015055,293.629819515627,120.127933623729,120.317288899613,2227.9257397936,8434.73559913191
0.0001517,293.630330185378,121.177156431652,118.865868743483,2235.96525362994,10000
0.00015285,293.631053232012,120.683010221794,113.710406507079,2192.12421930932,10000
0.000154,293.631569302559,119.643864181998,109.608073413616,2198.44515495553,9942.36180100228
0.00015515,293.632119910597,118.966831119481,108.164122165715,2328.60813220752,9934.018538969
0.00015625,293.632503482069,119.343548214422,108.806102302196,2441.08271043265,9189.81114517798
0.0001574,293.632726244657,120.90455301471,111.567944712744,1979.05682291865,8981.79199109785
0.00015855,293.63312118291,123.552879356254,114.950869588443,1294.76789391398,8660.48225088351
0.0001597,293.633619355445,127.521501755007,117.519059410109,898.725937806213,9460.02745493611
0.00016085,293.633959865042,131.928228229047,118.084821585666,705.022557867853,8960.46984755398
