Time,Temperature-DV01 Monitor: Temperature-DV01 Monitor (K),Temperature-TS01 Monitor: Temperature-TS01 Monitor (K),Temperature-TS02 Monitor: Temperature-TS02 Monitor (K),Temperature-TS03 Monitor: Temperature-TS03 Monitor (K),Temperature-TS04 Monitor: Temperature-TS04 Monitor (K)
5E-08,293.6,293.600000000343,293.60000000031,293.600000000379,293.600000000336
2.15E-06,293.60000000399,293.600075398689,293.600158516782,293.600157922841,293.600251706525
4.25E-06,293.600000027715,294.143762357538,294.1407749157,294.129394851183,294.131462218367
6.35000000000002E-06,293.600000063488,293.727876278887,293.727435936147,293.73289840905,293.730454122284
8.45000000000002E-06,293.600000117872,293.747217351313,293.747279699725,293.745968774566,293.748115880104
1.055E-05,293.600000219525,293.845681502471,293.844875699419,293.844663036629,293.849357942983
1.265E-05,293.600000508339,293.800890725036,293.802169793429,293.801891631268,293.803425597236
1.475E-05,293.600002587769,293.822863068105,293.82134188409,293.820060245943,293.821466084661
1.685E-05,293.600004542536,293.935707264663,293.935947049011,293.936182108176,293.94678869175
1.895E-05,293.600004305714,294.103690765114,294.10525351094,294.101716132131,294.159184190157
2.10500000000001E-05,293.600003970249,293.803774880193,293.805430798152,293.807501675203,293.843768760322
2.31500000000001E-05,293.600003733894,294.000844483394,294.001344150756,293.999996132136,294.038946364459
2.52500000000002E-05,293.600003721757,294.056568778106,294.058096230228,294.056689580159,294.083360952651
2.73500000000002E-05,293.600003846892,293.829272704762,293.828543712152,293.829876109868,293.860236516417
2.94500000000003E-05,293.600003937669,294.066483927573,294.067993590521,294.065402085007,294.090152757578
3.15500000000003E-05,293.600004104812,294.085190800652,294.085798359333,294.084788688207,294.104505593217
3.36500000000004E-05,293.60000438147,294.019909351281,294.020172581908,294.018457145668,294.04142780193
3.58000000000004E-05,293.600004811715,294.014318839085,294.013820059012,294.015621181486,294.024920720528
3.79000000000005E-05,293.600005383476,294.136224278105,294.13692818578,294.136580276615,294.153678793674
4.00000000000006E-05,293.600006144784,1600.78452738773,294.047784371674,294.047268104323,294.064654298181
4.21000000000006E-05,293.600007206196,1571.07888764835,293.979396305501,293.981115421185,293.99319404696
4.42000000000007E-05,293.600008009905,1675.73128492196,294.241566259076,294.237598410732,294.25788162983
4.63000000000007E-05,293.600007858027,1804.55363356988,294.07157132317,294.071661362736,294.08585329373
4.84000000000008E-05,293.600007680989,1642.75887887531,294.0597858918,294.059400881235,294.06995657951
5.05000000000008E-05,293.600007610955,1494.85823293179,294.229634758711,294.227683913034,294.243118142918
5.26000000000009E-05,293.600007669132,1348.56166173578,294.106793664619,294.108516994225,294.120599769742
5.47000000000009E-05,293.600007762954,728.122770688704,294.096142837785,294.09517498867,294.102324625016
5.6800000000001E-05,293.60000796582,233.469751846998,294.185441960663,294.184692608823,294.201405650352
5.8900000000001E-05,293.600008358645,174.219761491209,294.232564659755,294.228972258266,294.244297030383
6.10000000000011E-05,293.60000887362,143.688955642955,294.099218841326,294.099110917939,294.102018124442
6.31000000000011E-05,293.600009448071,136.849440312528,294.216535537898,294.215341433033,294.233367981017
6.52000000000012E-05,293.600010062866,115.795649224983,294.27228577345,294.270002083822,294.278888817801
6.73000000000012E-05,293.600010728908,118.995289563084,294.09466148256,294.096911905272,294.100151446547
6.94500000000013E-05,293.600088646609,139.598596134949,294.250204600929,294.248222609308,294.267162293053
7.15500000000013E-05,293.600112437702,144.51731666032,294.27257606489,294.271182173979,294.278233134826
7.36500000000014E-05,293.600121724537,120.379711289805,294.167618426106,294.167800563937,294.173654732157
7.57500000000014E-05,293.600127238419,106.758560629387,294.251266894287,294.248670882277,294.264601526537
7.78500000000015E-05,293.600125136183,102.679589536732,294.299593422281,294.298776918262,294.306611643997
7.99500000000015E-05,293.600123121786,103.587458139279,294.230235721208,294.229557478601,294.234026358593
8.20500000000016E-05,293.600124752824,120.582127903414,294.211427094787,294.212587158903,294.222876510463
8.41500000000016E-05,293.600125115091,113.130280037674,294.348614970123,294.346546537299,294.359112085646
8.62500000000017E-05,293.6001247424,102.714195987038,294.631150423744,294.251426297528,294.252958390313
8.83500000000017E-05,293.600124893818,99.8375127748143,1366.51909026997,294.233539554832,294.246001049676
9.04500000000018E-05,293.600125786239,101.356081464978,1384.0013837394,294.374117474516,294.38654529805
9.25500000000018E-05,293.600127387741,106.8761792218,1377.96689240895,294.276700199851,294.275229314412
9.46500000000019E-05,293.60012750392,112.6041409299,1385.21249250391,294.266283409221,294.279649401779
9.67500000000019E-05,293.600127627592,114.064378869494,1461.71587372602,294.357429813039,294.367967643055
9.8850000000002E-05,293.600127713537,108.992577565765,1633.1542158493,294.329624261205,294.329886420251
0.00010095,293.60012775195,105.415834868708,1603.92901880331,294.278822499286,294.290183897211
0.00010305,293.600127628534,107.251045476794,1198.68888244895,294.359540881057,294.369962479159
0.0001052,293.600127653494,116.076797670661,710.5546544578,294.382150526072,294.384526685526
0.0001073,293.600127839817,121.840561100019,378.610792894396,294.283418123219,294.289976640719
0.0001094,293.600128213048,115.604602560496,251.795981491887,294.380362194103,294.392581274394
