Time,Density-DV01 Monitor: Density-DV01 Monitor (kg/m^3),Density-TS01 Monitor: Density-TS01 Monitor (kg/m^3),Density-TS02 Monitor: Density-TS02 Monitor (kg/m^3),Density-TS03 Monitor: Density-TS03 Monitor (kg/m^3),Density-TS04 Monitor: Density-TS04 Monitor (kg/m^3)
5E-08,2.25518061597656,0.002129609337799,0.00212961036806,0.002129609805208,0.002129610206335
1.15E-06,2.25518059222264,0.002129572243002,0.002129574583012,0.002129606068168,0.00212961020958
2.3E-06,2.25518045551029,0.002129545663429,0.002129215996026,0.002129395408269,0.0021296172454
3.45E-06,2.25518032319439,0.002129338969999,0.00212913545766,0.002129531900034,0.002129789816091
4.6E-06,2.25518021559209,0.00213375278619,0.002132003055267,0.002136071170149,0.002134392074275
5.75000000000001E-06,2.25518011409332,0.002130906718188,0.002128791095412,0.002131426305832,0.002131319793819
6.85000000000002E-06,2.25517995713436,0.002130560025077,0.002127719417658,0.002131801546608,0.002130985823742
8.00000000000002E-06,2.25517972264347,0.002130995280037,0.002126946672642,0.002131788071306,0.002131105451281
9.15000000000001E-06,2.25517949251526,0.00213125462301,0.002126952177421,0.002129327020718,0.002131483318514
1.03E-05,2.25517928261182,0.002131519610234,0.002126590669807,0.002131471858203,0.002132106816965
1.145E-05,2.25517907528191,0.002134564938177,0.002128545892556,0.002134762704751,0.002135168594997
1.255E-05,2.25517887930876,0.002131190771771,0.002124459102796,0.002131148189084,0.002132315313071
1.37E-05,2.25517867782795,0.002130591208389,0.002123843733021,0.002130802675489,0.002131449646902
1.485E-05,2.25517835303068,0.0021313795323,0.00212328537195,0.002130608442219,0.002132110523225
1.6E-05,2.25517787292903,0.002131967013595,0.002122892134088,0.002130746247387,0.002132738890365
1.715E-05,2.25517810977598,0.002132484537905,0.002122316638598,0.002132114611048,0.002133800554688
1.825E-05,2.25517835155159,0.002133291845236,0.002121597611655,0.002132910446473,0.002135040479523
1.94000000000001E-05,2.25517828973187,0.002132530601602,0.00211875032844,0.002131613451968,0.00213521936993
2.05500000000001E-05,2.25517834462942,0.002129676646993,0.00211638506841,0.002128828119075,0.002131706330943
2.17000000000001E-05,2.25517814385083,0.002131360456709,0.002117623383003,0.002129923221904,0.002133383941605
2.28500000000001E-05,2.25517838883064,0.002131876272713,0.002118598225429,0.002131262531005,0.002134342056658
2.39500000000002E-05,2.25517826364414,0.002132157585534,0.002117946208528,0.002132348452503,0.002134787428178
2.51000000000002E-05,2.25517828944966,0.00213217414054,0.002117081065473,0.002132484341005,0.002134983551642
2.62500000000002E-05,2.25517830761029,0.002131841064763,0.002114985165905,0.002131167866489,0.002135099523611
2.74000000000002E-05,2.25517845102401,0.002129728012788,0.002111059696523,0.002127700010946,0.002132665666539
2.85500000000003E-05,2.25517836182331,0.002130892752233,0.002111663538061,0.002128031991111,0.002133744220827
2.97000000000003E-05,2.25517826070165,0.002131550659122,0.002111132293635,0.002128022338229,0.00213561693428
3.08000000000003E-05,2.25517818168694,0.002132231482926,0.002109893882171,0.002128217254923,0.002135870257593
3.19500000000004E-05,2.25517824030415,0.002131428961069,0.0021075797046,0.002126605821437,0.002135822708056
3.31000000000004E-05,2.25517765109172,0.002130834905195,0.002107061616011,0.00212557882603,0.002135694467632
3.42500000000004E-05,2.25517787565705,0.002129888283889,0.002104514478532,0.002123096407334,0.002134727911085
3.54000000000004E-05,2.25517792309192,0.002130295059974,0.002105693162564,0.00212227276511,0.002134536561932
3.65000000000005E-05,2.25517764061813,0.002131323456641,0.002105122567045,0.002124140251937,0.002137356236823
3.76500000000005E-05,2.25517830999198,0.00213107534096,0.002104051266572,0.002123411200588,0.002137485697317
3.88000000000005E-05,2.25517839354315,0.002130197593232,0.002100263398176,0.002122225245032,0.002137009561352
3.99500000000006E-05,2.25517841442352,0.00705885598516,0.0020990693703,0.002121194042998,0.002136696866867
4.11000000000006E-05,2.25517843806731,0.006809043779761,0.002097814557318,0.002120285343134,0.00213643414857
4.22000000000006E-05,2.25517812191032,0.006325867339035,0.002098166278509,0.002118342352367,0.002136558797552
4.33500000000006E-05,2.25517783184022,0.006309825586462,0.002097564708143,0.002118284898284,0.002139121499213
4.45000000000007E-05,2.25517749543776,0.006014494541148,0.002094117110808,0.002116444125175,0.002140263266591
4.56500000000007E-05,2.25517729258422,0.005721852706792,0.002090668287314,0.00211460974629,0.002139746858973
4.68000000000007E-05,2.25517747344889,0.005674257801042,0.002088567023742,0.002115244617082,0.002139087832634
4.79000000000007E-05,2.25517756905822,0.005795666603944,0.002087157000847,0.002115775649513,0.002140637935363
4.90500000000008E-05,2.25517744029555,0.006832224720748,0.002086140663409,0.002114075541071,0.002140569801625
5.02000000000008E-05,2.25517722453842,0.007448261239948,0.002083712304379,0.002114499368001,0.002142300608759
5.13500000000008E-05,2.2551770088422,0.007362513367848,0.002081938378658,0.002112516389375,0.002144470908295
5.25000000000009E-05,2.25517729431852,0.008092010837477,0.002079930644274,0.002110121504889,0.00214158049532
5.36500000000009E-05,2.25517645826448,0.01196933249102,0.002079288423888,0.002113235016641,0.002141726193301
5.47500000000009E-05,2.25517575004118,0.015404107707998,0.002080677372292,0.002115311876789,0.002142618945736
5.59000000000009E-05,2.25517515945722,0.02249011680235,0.002078599799064,0.002116111024924,0.002143245651925
5.7050000000001E-05,2.25517455818605,0.053719201025239,0.002077346512731,0.002118917551435,0.002145243496331
5.8200000000001E-05,2.25517405490253,0.062447680145828,0.00207550336159,0.002116561230911,0.002148581291768
